datetime,username,channel,message
2022-04-26T11:27:18.850476,spogg,#thebausffs,PagChomp
2022-04-26T11:27:23.857066,mesium,#thebausffs,WHAT WAS THAT PagMan
2022-04-26T11:27:23.857236,beyond_the_aeons,#thebausffs,gankAbuser
2022-04-26T11:27:24.013661,sajrun,#thebausffs,Corpa
2022-04-26T11:27:24.013825,robby___123,#thebausffs,elisBusiness
2022-04-26T11:27:24.171307,nyomster,#thebausffs,PogTasty mm
2022-04-26T11:27:24.355400,thatbackfisch12,#thebausffs,Corpa +700
2022-04-26T11:27:24.574210,kenpars,#thebausffs,phuket
2022-04-26T11:27:25.875971,icyrain94,#xqcow,!lasttweet
2022-04-26T11:27:26.069839,based_one,#thebausffs,EZ +700
2022-04-26T11:27:26.226562,fossabot,#xqcow,ACTION @ICYRAIN94 Last Tweet from xQc: @StableRonaldo https://t.co/0phyHQPvq3 - https://twitter.com/xQc/status/1518880924343037952 | 2 hours and 13 minutes ago
2022-04-26T11:27:26.226721,maciune,#thebausffs,PagMan Piiig
2022-04-26T11:27:26.383131,l4nzz,#xqcow,TriHard 🎁 any gifters?
2022-04-26T11:27:26.539703,jankos_soulmate,#thebausffs,WTF
2022-04-26T11:27:26.954934,br0m1ke,#thebausffs,MAJOR POT ALERT PotFriend 🚨 MAJOR POT ALERT PotFriend 🚨 POT ALERT PotFriend 🚨 MAJOR POT ALERT PotFriend 🚨 POT ALERT PotFriend 🚨 MAJOR POT ALERT PotFriend 🚨 POT ALERT PotFriend 🚨 MAJOR POT ALERT PotFriend 🚨 POT ALERT PotFriend 🚨 MAJOR POT ALERT PotFriend 🚨
2022-04-26T11:27:27.404533,congo_bongo_productions,#thebausffs,EZ
2022-04-26T11:27:27.561158,baushusband,#thebausffs,why does akshan have those boots why not berserkers ????
2022-04-26T11:27:27.717699,rocketherman,#thebausffs,what maxing W gives?
2022-04-26T11:27:24.954086,aetherhuertano,#thebausffs,Pog
2022-04-26T11:27:24.954247,belphegory,#thebausffs,Pog ket
2022-04-26T11:27:25.654139,vysnevsky,#thebausffs,Paggi
2022-04-26T11:27:23.230496,tinarp1,#thebausffs,Pog
2022-04-26T11:27:23.294953,26scnd,#thebausffs,Huge
2022-04-26T11:27:23.295024,nf_sunshine,#thebausffs,"@iwmar Pre rework eve was the best champ in the game, i'm sad thinking about it now PepeHands"
2022-04-26T11:27:23.295043,shovel_knight25,#thebausffs,Pog
2022-04-26T11:27:23.295060,marvi44,#xqcow,!time
2022-04-26T11:27:23.295080,anshul0709,#xqcow,!roulette 10
2022-04-26T11:27:23.295115,schnozebot,#xqcow,ACTION Anshul0709 won 10 points in roulette and nowhas 349 points! FeelsGoodMan
2022-04-26T11:27:23.295134,acsakiyaki24,#thebausffs,Akshan is a rat
2022-04-26T11:27:23.295150,likeclockwork_,#thebausffs,ezy
2022-04-26T11:27:23.295169,meblackbeard,#thebausffs,Corpa +700
2022-04-26T11:27:23.295185,r4v1e,#thebausffs,Diddles
2022-04-26T11:27:23.295200,mojanga,#thebausffs,Tastyge
2022-04-26T11:27:23.295215,rachichu,#thebausffs,oh true
2022-04-26T11:27:23.295242,ki3tsenpai,#thebausffs,akshan 100 cs
2022-04-26T11:27:23.295260,bootyslap7,#thebausffs,Corpa
2022-04-26T11:27:23.295275,arshya_v,#thebausffs,EZ
2022-04-26T11:27:23.295290,braveranger,#thebausffs,LMAO
2022-04-26T11:27:23.387074,rlaalswns803,#thebausffs,NERF QUINN RIOT NERF QUINN RIOT NERF QUINN RIOT NERF QUINN RIOT NERF QUINN RIOT NERF QUINN RIOT NERF QUINN RIOT
2022-04-26T11:27:23.387124,stickztheflow,#thebausffs,MMM
2022-04-26T11:27:23.387136,littleteaow,#xqcow,!roulette 80
2022-04-26T11:27:23.387147,bankk23,#thebausffs,Corpa
2022-04-26T11:27:23.387157,monster2315,#thebausffs,ResidentSleeper
2022-04-26T11:27:23.387167,sirpodrickpayne,#thebausffs,ratirlBusiness
2022-04-26T11:27:23.387200,stiff_q,#thebausffs,Corpa
2022-04-26T11:27:23.387210,spogg,#thebausffs,Corpa
2022-04-26T11:27:23.387220,starkayc,#xqcow,I hope my cock is big enough to fuck with. lebronJAM
2022-04-26T11:27:23.387231,fakerdopasmurf,#thebausffs,+700
2022-04-26T11:27:23.387240,likeclockwork_,#thebausffs,EZY
2022-04-26T11:27:23.543708,xxtwinkiez,#thebausffs,forsenPls
2022-04-26T11:27:23.700198,fossabot,#xqcow,@Marvi44 xQc's current local time: 04:27:23 AM (PDT)
2022-04-26T11:27:23.700248,gladydaddy27,#thebausffs,EZ
2022-04-26T11:27:24.797458,milliew2348,#thebausffs,positive kda?
2022-04-26T11:17:31.527946,canna_dude,#thebausffs,estrea2HeyThere estrea2HeyThere estrea2HeyThere
2022-04-26T11:17:31.684676,scarly,#xqcow,!roulette 50%
2022-04-26T11:17:31.684759,joeymacaroni_,#thebausffs,Leanin
2022-04-26T11:17:31.684774,schnozebot,#xqcow,ACTION Scarly won 1000 points in roulette and now has 3000 points! FeelsGoodMan
2022-04-26T11:17:31.684786,emzeid,#thebausffs,@4rg0_tv heads will roll
2022-04-26T11:17:32.280583,seductivecupcake420,#thebausffs,bausPepega oh no bausLeanin bausLeanin bausLeanin bausLeanin
2022-04-26T11:17:33.605637,guimow,#thebausffs,!opyiyi
2022-04-26T11:17:34.243723,moobot,#thebausffs,@guimow https://www.op.gg/summoners/kr/Baus borpaSpin
2022-04-26T11:17:36.324533,thakillawhale,#thebausffs,thoughts on that Akshan skin chat?
2022-04-26T11:17:37.025492,leomorais2,#thebausffs,OK Pog
2022-04-26T11:17:37.253591,pjnolan,#thebausffs,PADDY THE BADDDDDY
2022-04-26T11:17:38.055322,legoenthusiast,#xqcow,xqcSus
2022-04-26T11:17:38.211899,axopti_,#thebausffs,peepoDJ
2022-04-26T11:17:38.368521,pasi997,#thebausffs,OH NO
2022-04-26T11:17:38.644447,lolpafff,#thebausffs,Leanin Tssk Leanin Tssk Leanin Tssk Leanin Tssk Leanin Tssk Leanin Tssk Leanin Tssk Leanin Tssk
2022-04-26T11:17:38.943231,lingmee69,#thebausffs,Duck Duck Duck Duck Duck
2022-04-26T11:17:39.275653,nickgadjee,#thebausffs,RIOT ????
2022-04-26T11:17:35.371130,lolpafff,#thebausffs,Leanin Tssk Leanin Tssk Leanin Tssk Leanin Tssk
2022-04-26T11:17:35.951829,donny783,#thebausffs,TrumpetTime
2022-04-26T11:17:36.108417,jhincognito,#thebausffs,YEPJAM another banger YEPJAM Tssk  YEPJAM Tssk YEPJAM Tssk YEPJAM Tssk YEPJAM Tssk YEPJAM Tssk YEPJAM Tssk YEPJAM Tssk YEPJAM Tssk YEPJAM Tssk YEPJAM Tssk YEPJAM Tssk
2022-04-26T11:17:33.449085,mcaxier,#thebausffs,bauspls  potJAM  bauspls  potJAM  bauspls  potJAM  bauspls  potJAM  bauspls  potJAM  bauspls  potJAM  bauspls  potJAM  bauspls  potJAM  bauspls  potJAM  󠀀
